nombre;presentacion;marca;diferenciador;precio;imagen
Ariel;1000ml;Ariel;Regular Liquido;11800;productos/deldeul5amvbmdowbuav
Ariel;450g;Ariel;Regular;4100;productos/utiomrdiducvvaol6ryn
Aromatica ;20u;Hindu ;Cidron ;3200;productos/txqz9ithuomxshjyroko
Aromatica ;20u;Hindu ;Hierbabuena ;3200;productos/e0eghkfjd1rtypj8gcgc
Aromatica ;20u;Hindu ;Manzanilla ;3200;productos/y7bpin2yychckskl79fc
Aromatica ;25u;Gold Flower;Albahaca;1900;productos/xoeztfyh3ftanfkdweyr
Aromatica ;25u;Gold Flower;Toronjil;1900;productos/qkhsydlewtanqm6zwrqs
Aromaticas de Panela ;25u;Mas Aroma ;Frutas Exoticas ;5500;productos/hzs7ffbca0ej3b7mxim0
Arroz ;1K;Florhuila ;;4300;productos/bw5to4hnewexvlgf5reb
Arroz ;500g;Roa;;4300;productos/jlfbagywlxpksxc4c0tn
Arroz ;500g;Florhuila ;;2100;productos/m8b6lpkdnqjaviwgnwsq
Arveja Verde ;500g;Maritza;;2900;productos/nxxqe2twqprmpaq8tlmv
Arvejas ;195g;Zenu;;4900;productos/sgpwqbbd1thhbutyfhsj
Arvejas ;390g;Zenu;;3400;productos/sr7nz4lccns2qmbgwjxf
As Barra;350g;Dersa;Barra;2000;productos/job2fndtrlmnjvwry3ok
Aspirina;100mg;Bayer;Acido Acetilsalicilico;9320;productos/zae5kb1tkgwkxu7liyhj
Aspirina;500mg;Bayer;Efervescente;9300;productos/igl8tjczks0hokzaql0f
Atun ;110g;Alamar;En Aceite ;4700;productos/psbiuw0qrvafux6oeo2q
Atun ;110g;Alamar;En Agua;4700;productos/won1wkryt0jtpdc3szmj
Atun ;110g;Vikingos ;Agua;4500;productos/s9wcmgkjljjpcnwogvml
Atun ;170g;Isabel;Aceite Trozos de Atun;4400;productos/acyg3qpnknmnv1ju9kic
Atun ;175g;Isabel;Lomitos en Aceite ;4400;productos/flfhf8tki9jncvxqfdxf
Atun ;184g;Van Camps ;Lomitos Aceite ;5200;productos/qyejgpjdmnijcdsiojed
Atun ;184g;Van Camps ;Lomitos Agua ;5200;productos/a2kycxq6hqcfvi7z8tin
Atun ;3u;Van Camps ;Aceite de Oliva ;10900;productos/f1g1xkmkgzzs5jyotmil
Atun ;3u;Van Camps ;Lomitos Agua ;9900;productos/v2um6duwqm2bgtdyluob
Atun ;110.5g;Algusto ;Aceite ;3400;productos/ylxga2n6ilckbsgnvcsq
Atun ;150g;Van Camps ;Aceite de Oliva ;6200;productos/r1rixlycpjaluirak8tb
Atun ;150g;Van Camps ;Frijoles & Maiz ;6200;productos/tbcp4ktncbn5t4oqxsfv
Avena;250g;Alpina;Finesse ;2500;productos/zc2bpaut52l6kxolqwcx
Avena;250g;Alpina;Natural;2500;productos/kku7fvcbcj3a0yiqiw75
Avena;250 g;Alpina;Canela;2000;productos/iccrrcplvkfh60jcxhlf
Avena;250 g;Alpina;Deslactosada;2100;productos/j75if2dl0draet5oxsj7
Azucar;500g;Incauca ;Blanca ;1700;productos/eanb7ymegrv74nmmwl9o
Azucar;500g;Incauca ;Morena ;1700;productos/u6ujgf51hyaehioeudjl
Azucar ;1K;Manuelita ;;3900;productos/n8uymjmspkdsdycwyktb
Bacarles;750ml;Sanson;;18900;productos/gtmwye3ozpqde6eznwvu
Barquillos;45 g;Piazza;Vainilla ;1600;productos/kkkexufijmarcn77qzzm
Barquillos;45 g;Piazza;Fresa;1600;productos/rh47w8bg2as8w1xgi2y7
Barquillos;45 g;Piazza;Chocolate;1600;productos/gz6zekbfe2m4i3eurr6q
Barra de Cereal ;23g ;Tosh ;Avena y Almendras ;1900;productos/qwlzpazvcjf0krzdtbtf
Barra de Cereal ;23g ;Tosh ;Chocolate ;1900;productos/lcrwdn7asewysf4icwbr
Barra de Cereal ;23g ;Tosh ;Con Nueces ;1900;productos/igx1vnmvr1gt7isfwrku
Barra de Cereal ;23g ;Tosh ;Fresa;1900;productos/n3bozp73p5pdyorqcgiu
Barra de Cereal ;23g ;Tosh ;Mani y Pasas ;1900;productos/sw1mkn0acrk6obs6eqpc
Base;50g;Maggi;Carne Desmechada ;3200;productos/llmdf1mtbxbanhcofloo
Base;45g;Maggi;Gulash;3200;productos/nysxpb5rjdeezqnt6x1o
Base;45g;Maggi;Salsa Bechamel ;3200;productos/faorwmdcfly0nancl9ju
Base;80g;Maggi;Pollo Crispy;3200;productos/nadromzgmozspdfqswk2
Base de Salsa ;50g;Maggi;Bolognesa ;3500;productos/fhc6kkkuzndrwa4lfwoo
Base de Salsa ;50g;Maggi;Carbonara ;3500;productos/aewwyzwuwmtayrsxqqpl
Base de Salsa ;50g;Knorr;Napolitana ;3300;productos/kotagsumfz9krspiz7rt
Batilado;82g;Batilado;Fresa;2880;productos/k1dpuron1m0e6spfdokw
Batilado;82g;Batilado;Vainilla;2880;productos/fkhhio26f5mecdsxsjfh
Bebida en Polvo ;175g;Instacrem;Light ;6700;productos/pcw5xugtcmg37dvlgzgh
Bebida en Polvo ;200g;Chocolisto ;Chocolate ;3600;productos/cef52wx1wfksidjlagzf
Bebida en Polvo ;200g;Milo ;;7500;productos/ndsiglsi2yatreekc6jl
Bebida en Polvo ;200g;Nesquik;Chocolate;4700;productos/yjuxoon6kujjgdqmi4hl
Bebida en Polvo ;30g ;Suntea ;Te Limon ;2500;productos/wvrokmz4e1yf1dwrelnf
