nombre,presentacion,marca,diferenciador,precio,imagen
Bebida en Polvo ,200g,Milo ,,7500,productos/z0jzhq5licrotihuswdf
Bebida en Polvo ,200g,Nesquik,Chocolate,4700,productos/un6fc0ooegjbgdjr8iyo
Bebida en Polvo ,30g ,Suntea ,Te Limon ,2500,productos/oswnakp61wx0yo6ji152
Bebida en Polvo ,30g ,Suntea ,Te Maracuya ,2500,productos/tpauasvrfdan7w3c1wva
Bebida Lactea ,100g,Yox,Defensis Fresa,1500,productos/tizsxsjbavmncde6ertd
Bebida Lactea ,100g,Yox,Defensis Melocoton ,1500,productos/u1h8keomlij1s29peof5
Bebida Lactea ,100g,Yox,Defensis Multifrutas,1500,productos/zrflzctuxxnqdxlcfgqa
Bebida Lactea ,170g,Finesse,Con Musli,2900,productos/lmtvfddrolxbplrxnvno
Bebida Hidratante ,500ml ,Gatorade,Frutas Tropicales,2900,productos/dy4rbjnn4jvincz0z25k
Bebida Hidratante ,500ml,Gatorade,Mandarina ,2900,productos/cha4wntirgdu7vqwv918
Bebida Hidratante ,500ml,Gatorade,Maracuya,2900,productos/t8rqwqov3j2wvrfdn9cy
Bebida Hidratante ,500ml,Gatorade,Uva,2900,productos/fq3sv1ktqg4mqixr9ig0
Agua,600ml,Cristal,Sin Gas ,2200,productos/y4f9crg2ime9qsc93jlu
Agua,600ml,Manantial,Sin Gas ,2200,productos/qxxn1pim5mac1ytew6ra
Energizante,240ml,Vive 100,,2000,productos/rjcc7ekbbjreozj3z7vz
Gaseosa,1.5L,Coca Cola,,3800,productos/evti5njge113ohueww3k
Gaseosa,2.5L,Coca Cola,,4900,productos/bguz5bmbfavmblbzhsza
Gaseosa,2.5L,Postobon,Manzana,5900,productos/lsoigywavlo2rofgcdzr
Gaseosa,2.5L,Postobon,Uva,6500,productos/spiv07ra6xwtnkhrdgyt
Gaseosa,600ml,Coca Cola,,2600,productos/qaose8y1cyqppebr0hbk
Jugo ,1L,Tampico,Naranja,4100,productos/ympv9fnlbqtqtk4kx502
Gaseosa,1.5L,Pony Malta,,3500,productos/y9tgcauso0rouhqqnzel
Gaseosa,330cc,Pony Malta,,1700,productos/dneedjqaauoinp0ylczr
Te,1.5L,Mr Tea,Limon,4500,productos/wmkydolkvemjxzztjftb
Te,400ml,Fuze Tea,Negro Durazno ,1900,productos/nw59lwq5zq1ncqytxdsi
Te,400ml,Fuze Tea,Negro Limon,2100,productos/x9ethpubxv6qfebxnnhe
Betun,100g,Cherry,Negro,7700,productos/pgylfmpboewolx0b5gn3
Bimboletes ,55g,Bimbo ,Vainilla ,1000,productos/ofdfrxvn58frogkivbjd
Bon Bon Bum,Unidad,Bon Bon Bum,Fresa,400,productos/oywnpspertubxvh1grpn
Bon Bon Bum,Unidad,Bon Bon Bum,Mandarina ,400,productos/osol3crzutwntatflfha
Bon Bon Bum,24u,Bon Bon Bum,Rojo Fresa ,7400,productos/dy6tisq165jxjo18duph
Bonfiest,6u,Bonfiest,Lua Plus ,10900,productos/xhemf9uvpuawrdz2qtqp
Bonyurt,140g,Alpina,Galleta Triturada ,2100,productos/ce68jpeznr78ewyy6goy
Bonyurt,161g,Alpina,Chokogozzo,2000,productos/pn6xtawpmn39uq5djozl
Bronquisol,120ml,Jgb,Con Miel,12230,productos/hpwuawyqbcuw6hto2lvi
