nombre;imagen
Despensa; 
Farmacia;
Snacks; 
Populares; 
Bebidas; 
Licores y Cigarrillos; 
Mascotas;
Desayuno;
Dulces; 
Aseo;
Congelados;
Lacteos y Huevos; 
Farmacia; 
Aseo Personal;
Aseo; 
Bebes;
Papeleria;
