nombre,presentacion,marca,diferenciador,precio,imagen
Bebida en Polvo ,200g,Milo ,,7500,Bebida en Polvo 200gMilo .jpg
Bebida en Polvo ,200g,Nesquik,Chocolate,4700,Bebida en Polvo 200gNesquikChocolate.jpg
Bebida en Polvo ,30g ,Suntea ,Te Limon ,2500,Bebida en Polvo 30g Suntea Te Limon .jpg
Bebida en Polvo ,30g ,Suntea ,Te Maracuya ,2500,Bebida en Polvo 30g Suntea Te Maracuya .jpg
Bebida Lactea ,100g,Yox,Defensis Fresa,1500,Bebida Lactea 100gYoxDefensis Fresa.jpg
Bebida Lactea ,100g,Yox,Defensis Melocoton ,1500,Bebida Lactea 100gYoxDefensis Melocoton .jpg
Bebida Lactea ,100g,Yox,Defensis Multifrutas,1500,Bebida Lactea 100gYoxDefensis Multifrutas.jpg
Bebida Lactea ,170g,Finesse,Con Musli,2900,Bebida Lactea 170gFinesseCon Musli.jpg
Bebida Hidratante ,500ml ,Gatorade,Frutas Tropicales,2900,Bebidas Hidratantes500 ml GatoradeFrutas Tropicales.jpg
Bebida Hidratante ,500ml,Gatorade,Mandarina ,2900,Bebidas Hidratantes500 mlGatoradeMandarina .jpg
Bebida Hidratante ,500ml,Gatorade,Maracuya,2900,Bebidas Hidratantes500 mlGatoradeMaracuya.jpg
Bebida Hidratante ,500ml,Gatorade,Uva,2900,Bebidas Hidratantes500mlGatoradeUva.jpg
Agua,600ml,Cristal,Sin Gas ,2200,BebidasAgua600 mlCristal.jpg
Agua,600ml,Manantial,Sin Gas ,2200,BebidasAgua600 mlManantialNatural.jpg
Energizante,240ml,Vive 100,,2000,BebidasEnergizante240 mlVive 100.jpg
Gaseosa,1.5L,Coca Cola,,3800,BebidasGaseosa1.5 LCoca Cola.jpg
Gaseosa,2.5L,Coca Cola,,4900,BebidasGaseosa2.5 LCoca Cola.jpg
Gaseosa,2.5L,Postobon,Manzana,5900,BebidasGaseosa2.5 LPostobonManzana.jpg
Gaseosa,2.5L,Postobon,Uva,6500,BebidasGaseosa2.5 LPostobonUva.jpg
Gaseosa,600ml,Coca Cola,,2600,BebidasGaseosa600 mlCoca Cola.jpg
Jugo ,1L,Tampico,Naranja,4100,BebidasJugo de Naranja1LTampico.jpg
Gaseosa,1.5L,Pony Malta,,3500,BebidasPony Malta1.5 LBavaria.jpg
Gaseosa,330cc,Pony Malta,,1700,BebidasPony Malta330 ccBavaria.jpg
Te,1.5L,Mr Tea,Limon,4500,BebidasTe1.5 LMr TeaLimon.jpg
Te,400ml,Fuze Tea,Negro Durazno ,1900,BebidasTe400 mlFuze TeaNegro Durazno .jpg
Te,400ml,Fuze Tea,Negro Limon,2100,BebidasTe400 mlFuze TeaNegro Limon.jpg
Betun,100g,Cherry,Negro,7700,Betun100 gCherryNegro.jpg
Bimboletes ,55g,Bimbo ,Vainilla ,1000,Bimboletes 55gBimbo Vainilla .jpg
Bon Bon Bum,Unidad,Bon Bon Bum,Fresa,400,Bon Bon Bum1uBon Bon BumFresa.jpg
Bon Bon Bum,Unidad,Bon Bon Bum,Mandarina ,400,Bon Bon Bum1uBon Bon BumMandarina .jpg
Bon Bon Bum,24u,Bon Bon Bum,Rojo Fresa ,7400,Bon Bon Bum24uBon Bon BumRojo Fresa .jpg
Bonfiest,6u,Bonfiest,Lua Plus ,10900,Bonfiest6uBonfiestLua Plus .jpg
Bonyurt,140g,Alpina,Galleta Triturada ,2100,Bonyurt140gAlpinaGalleta Triturada .jpg
Bonyurt,161g,Alpina,Chokogozzo,2000,Bonyurt161gAlpinaChokogozzo.jpg
Bronquisol,120ml,Jgb,Con Miel,12230,Bronquisol120 mlJgbCon Miel.jpg
Brownie ,50g,Mama-ia,Chocolate ,2400,Brownie 50gMama-iaChocolate .jpg
Brownie ,50g,Mama-ia,Chocolate con Azucar,2400,Brownie 50gMama-iaChocolate con Azucar.jpg
Brownie ,65g,Choco Brownie ,Arequipe ,1900,Brownie 65gChoco Brownie Arequipe .jpg
Brownie ,70g,Mr Brown,Chocolate,2400,Brownie 70gMr BrownChocolate.jpg
Brownie ,80g,Mr Brown,Arequipe ,2400,Brownie 80gMr BrownArequipe .jpg
Buscapina,10 Comprimidos,BI,Compositum,8420,Buscapina10 ComprimidosBICompositum.jpg
Cabello de Angel ,250g,Doria ,,2500,Cabello de Angel 250gDoria .jpg
Caldo de Gallina,12u,Maggi,,3700,Caldo de Gallina12uMaggi.jpg
Canela ,20g,El Rey ,,2500,Canela 20gEl Rey .jpg
Canela Molida ,50g,El Rey ,,1600,Canela Molida 50gEl Rey .jpg
Caramelos ,100u,Coffee Delight ,,7500,Caramelos 100uCoffee Delight .jpg
Caramelos ,25g,Sparkies,,1500,Caramelos 25gSparkies.jpg
Jamon,450g,Pietran,,12400,Carnes FriasJamon450 gPietran.jpg
Alimento Perro,1.5K,Purina Cat Chow,Adultos Activos,23600,Cat Chow1.5 KgPurinaAdultos Activos.jpg
Cepillo de  Dientes,Unidad,Colgate,360 Sensitive,13890,Cepillo de  DientesUnidadColgate360 Sensitive.jpg
Cepillo de  Dientes,Unidad,Pro,Doble Accion ,7400,Cepillo de  DientesUnidadProDoble Accion .jpg
Cepillo de Dientes,Unidad,Oral-B,Medio 40,16650,Cepillo de DientesUnidadOral-BMedio 40.jpg
Cepillo de Dientes,Unidad,Pro,Deluxe,6600,Cepillo de DientesUnidadProDeluxe.jpg
Cereal ,320g,Chocho Krispis ,,10600,Cereal 320gChocho Krispis .jpg
Cereal ,400g,Special K Original ,Special K Original ,11300,Cereal 400gSpecial KOriginal .jpg
Cereal ,420g,Zucaritas ,,9600,Cereales420gZucaritas .jpg
Cereal ,200g,Corn Flakes,Original,5300,CerealesCorn Flakes200 gKellogsOriginal.jpg
Cereal ,260g,Fitness,,9100,CerealesFitness260 gNestle.jpg
Cereal ,405g,Froot Loops,,15700,CerealesFroot Loops405 gKellogs.jpg
Cerveza,330ml,Heineken,,6900,Cerveza330mlHeineken.jpg
Cheese Tris ,45g,Cheese Tris ,,1400,Cheese Tris 45gCheese Tris .jpg
Cheetos ,40g,Cheetos ,Queso Cremoso ,1500,Cheetos 40gCheetos Queso Cremoso .jpg
Cheetos ,50g,Cheetos ,Horneados Trissitos,1500,Cheetos 50gCheetos Horneados Trissitos.jpg
Cheetos ,53g,Cheetos ,Horneados Mix Extra Queso ,1500,Cheetos 53gCheetos Horneados Mix Extra Queso .jpg
Cheetos ,50g,Cheetos ,Horneados ,1500,Cheetos 56gCheetos Horneados .jpg
Cherry,750ml,Manischewitz,,39900,Cherry750mlManischewitz.jpg
Chicarron Americano ,13g,Jacks,Natural,1500,Chicarron Americano 13gJacksNatural.jpg
Chicles,12u,Adams,Canela ,1500,Chicles12uChicletsCanela .jpg
Chicles,12u,Adams,Menta,1500,Chicles12uChicletsMenta.jpg
Chicles,12u,Adams,Tutti Frutti ,1500,Chicles12uChicletsTutti Frutti .jpg
Chicles,12u,Trident ,Total Fresa,2900,Chicles12uTrident Total Fresa.jpg
Chicles,12u,Trident ,Total Menta ,2900,Chicles12uTrident Total Menta .jpg
Chicles,12u,Trident ,Total Yerbabuena ,2900,Chicles12uTrident Total Yerbabuena .jpg
Chicles,14u,Trident ,London Cult Mint ,2900,Chicles14uTrident London Cult Mint .jpg
